Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
32,28,technician,single,secondary,no,-9,yes,yes,unknown,9,may,175,5,-1,0,unknown,no
33,36,technician,married,secondary,no,-355,yes,no,cellular,8,may,89,1,-1,0,unknown,no
34,44,technician,married,primary,no,2887,yes,no,unknown,13,may,182,1,-1,0,unknown,no
35,40,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,288,1,-1,0,unknown,no
36,31,management,single,tertiary,no,522,no,no,telephone,29,mar,113,4,-1,0,unknown,no
37,38,admin.,married,secondary,no,1,yes,no,cellular,11,may,63,7,-1,0,unknown,no
38,38,blue-collar,single,primary,no,947,yes,no,cellular,12,may,361,2,-1,0,unknown,no
39,45,management,married,primary,no,321,yes,no,cellular,30,jul,918,4,-1,0,unknown,no
40,52,technician,married,secondary,no,526,no,yes,cellular,26,aug,60,6,-1,0,unknown,no
41,33,management,married,tertiary,no,3363,yes,yes,cellular,13,aug,158,1,-1,0,unknown,no
42,26,admin.,single,secondary,no,1348,no,no,cellular,30,jan,103,1,-1,0,unknown,no
43,35,management,single,tertiary,no,151,no,no,unknown,20,sep,11,1,850,2,failure,no
44,30,entrepreneur,married,secondary,no,392,yes,no,cellular,20,nov,117,3,-1,0,unknown,no
45,52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure,no
46,32,management,single,tertiary,no,1954,yes,yes,cellular,10,sep,107,1,-1,0,unknown,no
47,42,management,married,tertiary,no,365,yes,no,unknown,19,may,49,2,-1,0,unknown,no
48,48,blue-collar,married,secondary,no,647,no,no,cellular,29,aug,64,8,-1,0,unknown,no
49,59,management,married,unknown,no,8674,no,no,cellular,5,mar,64,1,-1,0,unknown,no
50,43,blue-collar,married,primary,no,4998,yes,no,unknown,14,may,93,4,-1,0,unknown,no
51,50,entrepreneur,married,primary,no,199,no,no,cellular,11,may,228,2,363,2,failure,no
52,83,retired,married,tertiary,no,6236,no,no,cellular,12,oct,766,1,62,3,failure,no
53,38,management,married,unknown,no,1759,yes,no,unknown,6,may,440,1,-1,0,unknown,no
54,53,retired,married,primary,no,759,yes,no,telephone,25,jul,702,5,-1,0,unknown,no
55,34,management,single,tertiary,no,1190,no,no,cellular,3,feb,18,7,-1,0,unknown,no
56,49,services,single,secondary,no,459,yes,no,unknown,19,may,58,10,-1,0,unknown,no
57,59,retired,married,unknown,no,0,no,no,cellular,25,aug,213,4,-1,0,unknown,no
58,59,management,divorced,tertiary,no,0,no,no,unknown,17,jun,437,2,-1,0,unknown,no
59,28,blue-collar,married,secondary,no,228,yes,no,unknown,3,jun,328,9,-1,0,unknown,no
60,47,blue-collar,married,secondary,no,303,no,no,unknown,11,jun,261,1,-1,0,unknown,no
61,34,management,single,tertiary,no,1009,yes,no,cellular,12,aug,68,2,-1,0,unknown,no
62,34,admin.,single,secondary,no,391,yes,no,unknown,9,may,192,2,-1,0,unknown,no
63,34,technician,single,secondary,no,827,yes,no,cellular,6,may,254,1,267,4,failure,no
64,40,technician,married,secondary,no,0,yes,yes,cellular,26,jul,105,2,172,1,failure,no
65,39,blue-collar,married,primary,no,4608,yes,no,unknown,16,jun,36,1,-1,0,unknown,no
66,40,management,married,primary,no,535,yes,no,telephone,5,may,11,6,-1,0,unknown,no
67,35,admin.,divorced,secondary,no,20,no,yes,cellular,17,jul,287,1,-1,0,unknown,no
68,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,no
69,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes
70,55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,no
71,52,technician,married,secondary,no,1818,no,yes,cellular,29,jul,46,4,-1,0,unknown,no
72,47,entrepreneur,married,unknown,no,209,yes,no,unknown,6,may,135,2,-1,0,unknown,no
73,35,admin.,single,secondary,no,184,yes,no,cellular,18,may,181,2,-1,0,unknown,no
74,26,technician,single,secondary,no,-211,yes,no,unknown,23,may,164,3,-1,0,unknown,no
75,51,retired,divorced,primary,no,1193,yes,no,cellular,30,jul,85,2,-1,0,unknown,no
76,44,admin.,married,secondary,no,238,yes,yes,unknown,2,jun,306,4,-1,0,unknown,no
77,54,management,married,tertiary,no,364,yes,no,cellular,17,jul,301,1,-1,0,unknown,no
78,51,blue-collar,married,secondary,no,145,no,yes,cellular,18,jul,313,1,-1,0,unknown,no
79,35,self-employed,single,tertiary,no,935,yes,no,cellular,20,nov,71,1,176,2,failure,no
80,50,management,married,tertiary,no,112,yes,no,cellular,4,nov,70,5,85,5,other,no
81,32,management,married,tertiary,no,0,no,no,cellular,26,aug,104,9,-1,0,unknown,no
82,34,self-employed,single,secondary,no,55,yes,no,cellular,18,may,155,1,-1,0,unknown,no
83,47,services,married,tertiary,no,871,no,no,cellular,22,aug,602,9,-1,0,unknown,no
84,41,self-employed,married,secondary,no,0,no,no,cellular,8,aug,197,2,-1,0,unknown,no
85,37,technician,married,secondary,no,277,yes,no,unknown,9,may,251,2,-1,0,unknown,no
86,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
87,42,self-employed,married,secondary,no,2,yes,no,cellular,14,may,51,5,-1,0,unknown,no
88,36,blue-collar,married,primary,no,38,yes,yes,cellular,13,may,285,2,335,1,other,no
89,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes
90,56,self-employed,married,tertiary,no,350,no,no,cellular,3,feb,83,3,-1,0,unknown,no
91,32,management,single,tertiary,no,3097,yes,no,cellular,20,nov,167,1,-1,0,unknown,no
92,54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,-1,0,unknown,no
93,55,blue-collar,married,primary,no,472,no,no,unknown,12,jun,80,2,-1,0,unknown,no
94,35,management,married,tertiary,no,300,yes,no,cellular,15,jul,555,2,-1,0,unknown,no
95,42,admin.,married,secondary,no,-150,no,yes,cellular,8,jul,249,3,-1,0,unknown,no
96,45,technician,married,tertiary,no,1780,no,no,cellular,11,aug,52,4,-1,0,unknown,no
97,54,housemaid,married,secondary,no,736,yes,no,cellular,16,apr,268,1,331,1,failure,no
98,36,blue-collar,single,secondary,no,206,yes,no,cellular,5,may,17,6,-1,0,unknown,no
99,32,admin.,married,tertiary,no,118,no,no,unknown,29,may,358,10,-1,0,unknown,no
100,43,management,single,tertiary,no,359,yes,no,telephone,12,may,899,3,-1,0,unknown,no
101,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
102,49,admin.,single,unknown,no,1226,no,no,cellular,30,apr,400,1,-1,0,unknown,no
103,34,blue-collar,married,secondary,no,587,yes,no,unknown,4,jun,77,8,-1,0,unknown,no
104,42,technician,divorced,secondary,no,324,yes,no,cellular,27,aug,203,2,-1,0,unknown,no
105,50,management,married,secondary,no,0,no,no,cellular,27,aug,97,7,-1,0,unknown,no
106,46,technician,single,secondary,no,0,no,no,cellular,19,aug,42,1,-1,0,unknown,no
107,35,technician,divorced,tertiary,no,825,yes,no,cellular,17,nov,273,2,-1,0,unknown,no
108,34,services,married,secondary,no,0,no,no,cellular,7,jul,160,3,-1,0,unknown,no
109,41,student,single,secondary,no,1934,yes,no,cellular,21,nov,162,2,-1,0,unknown,no
110,43,management,married,tertiary,no,5082,no,no,cellular,3,feb,99,3,-1,0,unknown,no
111,48,services,married,secondary,no,975,yes,yes,cellular,15,may,521,2,-1,0,unknown,no
112,45,housemaid,married,primary,no,317,yes,no,cellular,8,apr,325,2,-1,0,unknown,no
113,42,technician,divorced,secondary,no,2861,no,no,cellular,22,aug,30,5,-1,0,unknown,no
114,39,services,married,secondary,no,-267,yes,no,cellular,28,jul,143,10,-1,0,unknown,no
115,35,technician,married,secondary,no,482,no,no,cellular,12,aug,138,2,-1,0,unknown,no
116,53,self-employed,married,tertiary,no,235,no,no,unknown,18,jun,112,3,-1,0,unknown,no
117,33,admin.,single,secondary,no,206,no,no,telephone,13,nov,168,1,-1,0,unknown,no
118,39,management,single,tertiary,no,1648,no,no,cellular,19,oct,123,1,-1,0,unknown,no
119,47,admin.,married,secondary,no,328,no,no,cellular,13,aug,260,2,-1,0,unknown,no
120,38,management,married,tertiary,no,8,yes,no,cellular,15,may,17,8,-1,0,unknown,no
121,44,services,married,secondary,no,-236,yes,no,cellular,18,nov,218,2,113,7,success,no
122,31,technician,married,secondary,no,465,yes,no,cellular,12,may,259,3,-1,0,unknown,no
123,33,management,married,tertiary,no,7,yes,no,telephone,24,jul,780,1,-1,0,unknown,no
124,32,blue-collar,single,secondary,no,-204,yes,yes,unknown,26,may,202,2,-1,0,unknown,no
125,59,housemaid,married,secondary,no,345,no,no,unknown,9,jun,38,1,-1,0,unknown,no
126,35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes
127,42,admin.,married,secondary,no,383,no,no,cellular,25,jan,146,1,-1,0,unknown,no
128,31,blue-collar,divorced,primary,no,158,yes,no,unknown,28,may,157,1,-1,0,unknown,no
129,28,management,single,unknown,yes,101,yes,no,unknown,9,may,224,3,-1,0,unknown,no
130,41,technician,single,secondary,no,-3,no,no,cellular,8,jul,413,1,-1,0,unknown,no
131,59,management,married,tertiary,no,2365,no,yes,cellular,29,jan,36,1,188,4,failure,no
132,51,services,divorced,secondary,no,518,yes,no,telephone,17,nov,76,1,-1,0,unknown,no
133,33,technician,married,secondary,no,1166,no,no,cellular,11,aug,90,3,-1,0,unknown,no
134,37,technician,divorced,secondary,no,262,yes,no,cellular,8,may,268,1,281,4,other,no
135,29,admin.,married,secondary,no,265,yes,no,unknown,23,may,329,2,-1,0,unknown,no
136,39,entrepreneur,married,secondary,no,283,yes,no,unknown,26,may,126,2,-1,0,unknown,no
137,27,blue-collar,single,primary,no,881,yes,no,unknown,4,jun,156,3,-1,0,unknown,no
138,57,housemaid,married,primary,no,3570,no,no,unknown,9,jun,233,2,-1,0,unknown,no
139,36,technician,married,secondary,no,2474,yes,no,cellular,12,aug,107,1,-1,0,unknown,no
140,27,services,married,secondary,no,1304,no,no,cellular,30,jan,403,1,-1,0,unknown,no
141,36,management,married,tertiary,no,1477,no,no,cellular,7,aug,71,2,-1,0,unknown,no
142,31,technician,divorced,secondary,no,342,yes,no,unknown,30,may,34,2,-1,0,unknown,no
143,40,technician,divorced,secondary,no,0,no,no,cellular,26,aug,67,2,-1,0,unknown,no
144,59,management,married,tertiary,yes,782,no,yes,cellular,13,aug,127,2,-1,0,unknown,no
145,46,management,married,secondary,no,1299,yes,no,cellular,14,jul,104,2,-1,0,unknown,no
146,30,management,single,tertiary,no,2766,yes,yes,cellular,20,nov,244,1,-1,0,unknown,no
147,28,blue-collar,single,secondary,no,61,yes,no,cellular,14,may,428,3,-1,0,unknown,no
148,50,blue-collar,married,secondary,no,253,no,no,telephone,28,jan,37,1,-1,0,unknown,no
149,40,blue-collar,divorced,primary,no,190,yes,yes,cellular,17,apr,139,1,346,2,failure,no
150,44,blue-collar,married,primary,no,1669,no,no,unknown,19,jun,64,2,-1,0,unknown,no
151,43,technician,married,secondary,no,714,yes,no,cellular,16,jul,255,1,-1,0,unknown,no
152,42,blue-collar,married,secondary,no,156,no,no,cellular,21,jul,455,4,-1,0,unknown,no
153,70,retired,married,secondary,no,2064,no,no,cellular,22,oct,334,1,-1,0,unknown,no
154,49,unknown,married,primary,no,142,no,no,unknown,12,jun,90,3,-1,0,unknown,no
155,46,management,married,secondary,no,4105,yes,no,cellular,15,apr,115,3,258,2,failure,no
156,39,technician,single,secondary,no,1048,yes,yes,cellular,8,apr,201,2,-1,0,unknown,no
157,54,management,married,tertiary,no,69,no,no,unknown,11,jun,113,1,-1,0,unknown,no
158,26,management,single,tertiary,no,0,no,no,cellular,23,feb,176,1,-1,0,unknown,no
159,43,self-employed,single,secondary,no,798,yes,no,unknown,12,may,217,1,-1,0,unknown,no
160,36,blue-collar,married,primary,no,70,yes,no,cellular,28,jan,164,1,-1,0,unknown,no
161,53,entrepreneur,married,primary,no,1034,yes,no,cellular,19,nov,854,2,170,3,other,no
162,28,student,single,tertiary,no,836,yes,no,unknown,19,may,36,1,-1,0,unknown,no
163,45,management,married,tertiary,no,1874,no,no,cellular,28,jan,207,1,-1,0,unknown,no
164,43,services,married,tertiary,no,519,yes,no,cellular,18,may,715,6,-1,0,unknown,no
165,37,entrepreneur,single,secondary,no,654,no,no,unknown,19,may,594,2,-1,0,unknown,no
166,39,admin.,married,secondary,no,186,yes,no,cellular,14,jul,114,2,-1,0,unknown,no
167,49,admin.,married,primary,no,246,yes,no,cellular,18,jul,49,5,-1,0,unknown,no
168,44,self-employed,married,secondary,no,-264,yes,no,cellular,29,jan,227,1,-1,0,unknown,no
169,50,technician,married,secondary,no,2972,no,no,cellular,28,jul,73,5,-1,0,unknown,no
170,57,retired,married,tertiary,no,-5,no,no,cellular,10,jul,42,1,-1,0,unknown,no
171,44,blue-collar,married,primary,no,1265,yes,no,cellular,16,jul,555,1,-1,0,unknown,yes
172,37,services,married,secondary,no,749,yes,no,cellular,3,apr,121,2,-1,0,unknown,no
173,31,management,single,tertiary,no,296,no,yes,cellular,8,jul,509,4,-1,0,unknown,yes
174,41,blue-collar,married,primary,no,241,yes,no,cellular,20,apr,170,1,150,1,failure,no
175,54,management,married,secondary,no,1394,yes,no,unknown,15,may,438,5,-1,0,unknown,no
176,31,blue-collar,married,secondary,no,154,yes,yes,cellular,15,may,454,1,-1,0,unknown,no
177,56,blue-collar,married,primary,no,6677,yes,no,telephone,20,apr,197,4,-1,0,unknown,no
178,42,housemaid,married,primary,no,0,no,yes,cellular,11,jul,83,2,-1,0,unknown,no
179,49,self-employed,married,secondary,no,1683,no,no,cellular,29,aug,61,4,-1,0,unknown,no
180,30,services,single,secondary,no,432,yes,no,unknown,20,may,340,3,-1,0,unknown,no
181,40,blue-collar,married,secondary,no,316,yes,no,unknown,7,may,266,2,-1,0,unknown,no
182,42,management,married,tertiary,no,3038,no,no,cellular,18,aug,693,7,-1,0,unknown,no
183,43,technician,married,tertiary,no,743,yes,no,unknown,7,may,134,2,-1,0,unknown,no
184,35,technician,single,tertiary,no,2288,no,no,telephone,28,may,32,2,-1,0,unknown,no
185,46,entrepreneur,married,tertiary,no,4726,yes,no,cellular,8,apr,405,1,-1,0,unknown,no
186,37,admin.,married,tertiary,no,828,yes,no,cellular,6,may,206,2,342,1,failure,no
187,32,blue-collar,married,secondary,no,491,yes,no,unknown,8,may,223,2,-1,0,unknown,no
188,49,entrepreneur,married,secondary,no,1147,yes,yes,cellular,25,jul,96,3,-1,0,unknown,no
189,29,management,married,tertiary,no,-6,yes,no,unknown,9,may,324,1,-1,0,unknown,no
190,40,blue-collar,married,primary,no,3736,yes,no,unknown,19,may,29,3,-1,0,unknown,no
191,40,management,married,tertiary,no,1584,yes,no,telephone,21,nov,661,1,-1,0,unknown,no
192,50,blue-collar,married,primary,no,334,no,no,cellular,27,aug,79,3,-1,0,unknown,no
193,37,management,single,tertiary,no,767,no,no,cellular,22,aug,160,2,-1,0,unknown,no
194,30,services,single,secondary,no,419,yes,no,cellular,12,may,300,3,-1,0,unknown,no
195,49,management,married,tertiary,no,413,no,yes,cellular,31,jul,196,4,-1,0,unknown,no
196,47,management,married,tertiary,no,2820,no,no,unknown,20,jun,92,3,-1,0,unknown,no
197,41,management,married,tertiary,no,3872,no,no,cellular,15,oct,231,1,-1,0,unknown,no
198,52,technician,married,secondary,no,989,no,no,cellular,11,aug,356,1,-1,0,unknown,no
199,47,technician,married,secondary,no,332,yes,no,cellular,2,feb,276,1,269,1,success,no
200,31,self-employed,married,tertiary,no,322,yes,no,unknown,8,may,159,1,-1,0,unknown,no
201,51,management,married,tertiary,no,57,no,no,cellular,28,jul,66,19,-1,0,unknown,no
202,35,management,married,tertiary,no,2308,no,yes,unknown,9,jun,540,1,-1,0,unknown,no
203,36,self-employed,single,primary,no,235,yes,no,unknown,29,may,141,9,-1,0,unknown,no
204,41,entrepreneur,married,secondary,no,353,no,no,cellular,19,nov,90,2,-1,0,unknown,no
205,30,management,single,tertiary,no,2592,no,no,cellular,19,nov,50,1,-1,0,unknown,no
206,40,management,married,secondary,no,0,yes,no,cellular,17,jul,728,3,-1,0,unknown,no
207,33,services,married,secondary,no,184,yes,no,unknown,13,may,109,4,-1,0,unknown,no
208,46,management,married,tertiary,no,4879,no,no,cellular,31,jul,195,3,-1,0,unknown,no
209,50,unknown,married,unknown,no,0,no,no,cellular,21,aug,120,2,-1,0,unknown,no
210,45,management,divorced,tertiary,no,-901,yes,no,unknown,26,may,86,3,-1,0,unknown,no
211,38,technician,divorced,secondary,no,1221,yes,yes,cellular,18,aug,73,7,-1,0,unknown,no
212,32,services,married,secondary,no,1670,no,no,cellular,13,may,223,1,299,2,failure,no
213,35,blue-collar,married,primary,no,0,yes,no,cellular,10,jul,421,1,-1,0,unknown,no
214,45,blue-collar,married,secondary,no,3,no,yes,telephone,30,jul,154,2,-1,0,unknown,no
215,35,technician,single,secondary,no,920,yes,no,cellular,11,aug,159,2,286,6,failure,no
216,51,blue-collar,divorced,primary,no,886,no,no,unknown,17,jun,167,1,-1,0,unknown,no
217,44,blue-collar,single,primary,no,97,yes,no,unknown,23,may,95,14,-1,0,unknown,no
218,46,self-employed,single,primary,no,2032,no,no,cellular,30,jul,424,2,-1,0,unknown,no
219,52,housemaid,married,secondary,no,3034,no,no,unknown,9,jun,206,2,-1,0,unknown,no
220,30,technician,single,secondary,no,23,yes,no,unknown,9,may,137,1,-1,0,unknown,no
221,42,technician,married,secondary,no,769,no,no,cellular,6,feb,187,2,246,1,failure,no
222,30,technician,single,tertiary,no,432,yes,yes,unknown,3,jun,180,3,-1,0,unknown,no
223,38,admin.,single,secondary,no,3823,no,no,unknown,6,jun,81,5,-1,0,unknown,no
224,40,services,married,secondary,no,1688,no,no,unknown,16,may,93,1,-1,0,unknown,no
225,29,student,single,secondary,no,181,yes,no,cellular,23,jul,180,1,-1,0,unknown,no
226,41,management,married,primary,no,102,yes,yes,cellular,21,nov,188,1,-1,0,unknown,no
227,34,blue-collar,married,primary,no,157,yes,no,unknown,23,may,20,17,-1,0,unknown,no
228,42,technician,divorced,secondary,no,58,no,no,cellular,19,aug,153,2,-1,0,unknown,no
229,28,student,single,secondary,no,39,yes,no,cellular,20,apr,149,1,-1,0,unknown,no
230,41,blue-collar,married,unknown,no,1402,no,no,cellular,31,jul,33,14,-1,0,unknown,no
231,37,technician,married,tertiary,no,0,no,no,cellular,20,nov,53,3,-1,0,unknown,no
232,41,management,married,tertiary,no,666,yes,no,cellular,20,nov,106,3,183,3,failure,no
233,32,admin.,single,secondary,no,64,yes,no,unknown,7,may,202,2,-1,0,unknown,no
234,26,unemployed,single,tertiary,no,23494,no,no,cellular,3,feb,136,1,-1,0,unknown,no
235,49,entrepreneur,divorced,secondary,no,816,yes,no,cellular,14,may,12,7,-1,0,unknown,no
236,40,blue-collar,married,secondary,no,-648,yes,no,cellular,21,nov,280,2,-1,0,unknown,no
237,36,management,single,tertiary,no,2745,yes,no,cellular,8,aug,306,3,-1,0,unknown,no
238,50,management,married,tertiary,no,557,yes,no,unknown,17,jun,200,4,-1,0,unknown,no
239,35,admin.,single,secondary,no,148,yes,no,unknown,6,may,128,2,-1,0,unknown,no
240,50,services,married,secondary,no,992,yes,no,unknown,30,may,407,1,-1,0,unknown,no
241,57,technician,single,secondary,no,5961,yes,no,unknown,14,may,166,3,-1,0,unknown,no
242,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
243,60,services,married,secondary,no,594,yes,no,cellular,3,feb,35,7,265,5,other,no
244,42,blue-collar,single,primary,no,4930,no,no,unknown,18,jun,973,1,-1,0,unknown,yes
245,40,blue-collar,married,secondary,no,580,yes,no,unknown,16,may,192,1,-1,0,unknown,no
246,28,blue-collar,single,secondary,no,2486,yes,no,telephone,18,may,26,5,354,1,success,no
247,47,blue-collar,married,primary,no,683,yes,no,cellular,15,jul,106,12,-1,0,unknown,no
248,50,blue-collar,married,unknown,no,51,no,no,telephone,27,jan,199,3,-1,0,unknown,no
249,29,blue-collar,married,secondary,no,2,yes,no,cellular,22,jul,96,1,-1,0,unknown,no
250,50,management,married,tertiary,no,0,no,no,unknown,17,jun,117,3,-1,0,unknown,no
251,26,services,single,secondary,no,2158,yes,yes,telephone,5,jun,227,1,-1,0,unknown,no
252,35,technician,married,secondary,no,222,yes,no,cellular,14,may,165,5,177,7,failure,no
253,38,admin.,divorced,secondary,no,3834,yes,no,cellular,13,apr,363,2,327,1,failure,no
254,54,technician,married,secondary,no,230,no,yes,cellular,21,nov,401,1,100,2,failure,no
255,46,blue-collar,married,secondary,no,942,no,no,cellular,18,nov,240,3,119,2,failure,no
256,30,blue-collar,married,secondary,no,938,yes,no,unknown,14,may,159,1,-1,0,unknown,no
257,49,entrepreneur,married,secondary,no,167,yes,yes,unknown,6,may,198,3,-1,0,unknown,no
258,41,services,married,secondary,no,714,yes,yes,unknown,15,may,504,5,-1,0,unknown,no
259,50,blue-collar,married,primary,no,370,yes,no,telephone,26,aug,39,6,-1,0,unknown,no
260,55,blue-collar,married,primary,no,11,no,no,unknown,17,jun,150,2,-1,0,unknown,no
261,46,admin.,single,secondary,no,13,no,no,unknown,2,jun,71,4,-1,0,unknown,no
262,31,technician,single,tertiary,no,1320,no,no,cellular,4,feb,377,1,-1,0,unknown,no
263,58,management,married,tertiary,no,1831,no,no,cellular,17,nov,1531,1,-1,0,unknown,no
264,37,blue-collar,single,tertiary,no,3649,yes,no,cellular,15,apr,623,2,146,4,failure,no
265,32,management,divorced,tertiary,no,5550,yes,no,cellular,8,aug,89,4,-1,0,unknown,no
266,29,blue-collar,single,unknown,no,913,yes,no,telephone,14,may,188,1,352,2,failure,no
267,41,services,married,secondary,no,-140,no,yes,unknown,6,jun,190,1,-1,0,unknown,no
268,31,self-employed,single,tertiary,no,14692,yes,no,unknown,23,may,601,1,-1,0,unknown,no
269,40,admin.,single,secondary,no,263,yes,no,unknown,6,may,231,1,-1,0,unknown,no
270,42,blue-collar,married,secondary,no,-430,yes,no,cellular,19,nov,298,2,-1,0,unknown,no
271,32,blue-collar,married,secondary,no,1,yes,no,cellular,18,nov,77,3,-1,0,unknown,no
272,37,self-employed,married,primary,no,0,no,no,unknown,7,may,112,4,-1,0,unknown,no
273,37,services,married,secondary,no,1325,no,no,unknown,3,jun,72,3,-1,0,unknown,no
274,32,unemployed,single,secondary,no,2706,no,no,cellular,21,nov,462,3,-1,0,unknown,no
275,54,retired,divorced,secondary,no,451,no,yes,cellular,18,may,42,4,280,5,failure,no
276,33,admin.,single,secondary,no,395,yes,no,unknown,12,may,95,8,-1,0,unknown,no
277,47,blue-collar,married,unknown,no,1044,yes,no,cellular,12,may,208,6,371,1,failure,no
278,55,services,divorced,tertiary,no,1983,yes,no,telephone,19,nov,123,1,-1,0,unknown,no
279,38,technician,married,secondary,no,565,no,no,cellular,20,aug,93,2,-1,0,unknown,no
280,38,self-employed,married,tertiary,no,846,no,no,cellular,2,jun,253,1,-1,0,unknown,no
281,47,management,married,primary,no,530,yes,no,cellular,14,jul,457,3,-1,0,unknown,no
282,30,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,30,1,-1,0,unknown,no
283,51,unemployed,married,secondary,no,-13,yes,no,cellular,13,may,361,1,364,1,failure,no
284,43,technician,married,secondary,no,-235,yes,yes,unknown,29,may,260,2,-1,0,unknown,no
285,56,entrepreneur,divorced,secondary,no,179,no,no,cellular,14,aug,47,2,-1,0,unknown,no
286,56,unemployed,married,unknown,no,846,yes,no,telephone,30,jul,213,7,-1,0,unknown,no
287,48,management,single,tertiary,no,336,yes,no,cellular,18,may,17,1,369,4,other,no
288,33,management,single,tertiary,no,59,yes,no,cellular,8,aug,215,4,-1,0,unknown,no
289,52,blue-collar,married,secondary,no,305,no,no,cellular,28,aug,26,26,-1,0,unknown,no
290,32,technician,single,secondary,no,-234,yes,no,cellular,15,may,24,7,-1,0,unknown,no
291,54,self-employed,married,tertiary,no,368,no,no,cellular,18,nov,74,2,110,4,failure,no
292,44,management,divorced,tertiary,no,347,yes,yes,cellular,14,aug,63,2,-1,0,unknown,no
293,42,housemaid,married,primary,no,14752,no,no,unknown,19,may,107,2,-1,0,unknown,no
294,44,blue-collar,single,primary,no,-24,no,no,telephone,7,jul,564,1,-1,0,unknown,no
295,29,blue-collar,married,unknown,yes,163,yes,yes,cellular,23,jul,586,2,-1,0,unknown,no
296,58,blue-collar,married,secondary,no,590,no,yes,unknown,5,jun,133,1,-1,0,unknown,no
297,41,housemaid,married,secondary,no,81,yes,no,cellular,11,may,193,1,-1,0,unknown,no
