ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
98,1.23,Ideal,G,VVS2,EX,EX,GIA,10537
99,2.01,Fair,H,VS2,EX,G,GIA,16632
100,1.51,Very Good,F,VS2,EX,VG,GIA,13497
101,1.01,Ideal,F,VS2,EX,VG,GIA,6871
102,1.04,Ideal,H,SI1,EX,EX,GIA,6458
103,1.1,Ideal,G,VS1,VG,VG,GIA,7441
104,1,Good,E,SI1,VG,EX,GIA,5408
105,2.01,Ideal,E,SI1,EX,EX,GIA,23217
106,1.72,Ideal,G,VS2,EX,EX,GIA,16472
107,0.91,Very Good,H,VS2,VG,VG,GIA,4304
108,0.9,Ideal,D,VS2,EX,EX,GIA,6143
109,1,Ideal,E,VS2,EX,EX,GIA,7370
110,2.32,Ideal,G,VS2,EX,EX,GIA,31114
111,1,Good,H,VS1,EX,G,GIA,5625
112,2.46,Very Good,I,SI1,VG,VG,GIA,19425
113,1.12,Ideal,E,VS1,EX,VG,GIA,9719
114,1.53,Ideal,D,VS2,EX,EX,GIA,17223
115,1.04,Ideal,E,SI1,EX,EX,GIA,6035
116,1,Very Good,H,SI1,ID,ID,AGSL,4995
117,1.13,Ideal,G,VS2,ID,ID,AGSL,7147
118,1.52,Very Good,G,VS2,EX,EX,GIA,12730
119,1.01,Very Good,I,SI1,EX,G,GIA,4189
120,1.65,Ideal,I,VS1,VG,EX,GIA,11472
121,2.09,Ideal,H,VS1,EX,EX,GIA,23651
122,1.03,Ideal,E,VVS2,EX,VG,GIA,10004
123,0.82,Ideal,E,SI1,EX,EX,GIA,3622
124,1.19,Ideal,G,VS1,ID,ID,AGSL,8034
125,1.26,Ideal,E,SI1,EX,EX,GIA,8574
126,1.51,Good,I,SI1,G,G,GIA,8140
127,1.64,Ideal,I,VS2,VG,VG,GIA,10628
128,2.01,Very Good,D,VS2,VG,VG,GIA,29686
129,0.92,Ideal,G,VS2,VG,VG,GIA,5070
130,2.37,Ideal,E,VS1,EX,EX,GIA,41838
131,1.25,Ideal,G,IF,ID,ID,AGSL,11511
132,1.11,Ideal,G,VVS2,EX,EX,GIA,8970
133,1.53,Ideal,E,SI1,G,VG,GIA,11470
134,1.11,Very Good,H,VS2,EX,VG,GIA,5932
135,0.78,Very Good,G,SI1,VG,EX,GIA,2721
136,1.51,Very Good,H,VS2,EX,VG,GIA,10950
137,2.18,Very Good,G,SI1,G,VG,GIA,19659
138,2,Ideal,G,SI1,VG,VG,GIA,19491
139,2.09,Ideal,G,VS1,EX,EX,GIA,28683
140,1.08,Good,I,SI1,VG,G,GIA,4344
141,1.18,Ideal,F,VVS2,ID,ID,AGSL,10324
142,2.02,Ideal,E,VS2,VG,VG,GIA,29641
143,0.83,Ideal,F,VS2,VG,VG,GIA,3625
144,1.1,Very Good,G,VS2,G,VG,GIA,7406
145,1.11,Ideal,I,SI1,VG,VG,GIA,4709
146,2,Very Good,G,VS2,EX,EX,GIA,27025
147,1.13,Ideal,G,IF,EX,EX,GIA,9885
148,0.9,Fair,F,SI1,VG,VG,GIA,3995
149,1.05,Very Good,H,SI1,G,G,GIA,5072
150,1,Good,H,VVS2,EX,VG,GIA,6173
151,1.61,Signature-Ideal,E,VS1,ID,ID,AGSL,21352
152,2.02,Ideal,G,VS2,EX,EX,GIA,25986
153,1.03,Very Good,D,VS1,VG,VG,GIA,8437
154,2.33,Ideal,G,SI1,VG,VG,GIA,24894
155,0.9,Good,G,VS2,EX,EX,GIA,4296
156,1.21,Ideal,I,VS2,EX,EX,GIA,5856
157,1.01,Ideal,I,VS1,EX,VG,GIA,5182
158,2.01,Ideal,D,IF,VG,VG,GIA,64134
159,2.32,Ideal,G,VS2,EX,EX,GIA,32073
160,0.76,Very Good,F,VS2,G,G,AGSL,2873
161,1.06,Ideal,D,VVS2,ID,ID,AGSL,11209
162,1.1,Ideal,G,VVS2,EX,EX,GIA,9856
163,1.64,Signature-Ideal,I,VS2,ID,ID,AGSL,12199
164,1.55,Very Good,G,VVS2,EX,EX,GIA,15930
165,2.49,Very Good,G,VS1,VG,EX,GIA,38001
166,2,Good,F,SI1,G,G,GIA,18376
167,1.5,Ideal,H,VS1,ID,ID,AGSL,12055
168,1.59,Very Good,I,VS2,VG,EX,AGSL,10309
169,0.79,Ideal,F,SI1,EX,VG,GIA,3210
170,0.76,Ideal,D,VS1,VG,EX,GIA,4229
171,1.06,Very Good,E,SI1,VG,VG,GIA,5691
172,2.18,Good,F,VS2,G,VG,GIA,30175
173,1.1,Ideal,E,VS1,EX,EX,GIA,9397
174,2.03,Ideal,I,SI1,ID,ID,AGSL,15895
175,1.02,Good,I,VS2,VG,G,GIA,4340
176,1.51,Very Good,F,VS2,EX,VG,GIA,13324
177,1.01,Good,G,VVS2,EX,VG,GIA,7377
178,1.01,Fair,G,IF,VG,VG,GIA,7344
179,0.91,Signature-Ideal,D,VVS2,ID,ID,AGSL,9182
180,1.01,Very Good,E,SI1,EX,VG,GIA,5759
181,2.02,Very Good,I,VS2,EX,VG,GIA,16179
182,1.01,Good,E,VS2,VG,G,GIA,5860
183,1.02,Very Good,D,VS2,G,VG,GIA,6830
184,0.76,Ideal,H,VS2,ID,ID,AGSL,3038
185,1.5,Signature-Ideal,F,VVS2,ID,ID,AGSL,21002
186,1.51,Ideal,G,VS1,EX,EX,GIA,14779
187,1.72,Ideal,H,SI1,EX,EX,GIA,12865
188,1.01,Very Good,G,VVS2,VG,VG,GIA,6975
189,1.2,Ideal,D,VVS2,EX,EX,GIA,14033
190,1.58,Signature-Ideal,G,VS1,ID,ID,AGSL,16790
191,2.05,Ideal,G,VS1,EX,EX,GIA,27816
192,1.51,Good,I,SI1,VG,VG,GIA,8420
193,0.83,Very Good,I,VVS1,EX,EX,GIA,3774
194,2.39,Very Good,G,VVS2,VG,G,GIA,34415
195,0.9,Very Good,F,SI1,G,VG,GIA,4054
196,1.5,Good,I,VS2,VG,G,GIA,8920
197,2.16,Ideal,G,VS2,EX,EX,GIA,25583
198,1.54,Ideal,I,VS2,ID,ID,AGSL,9998
199,2.02,Ideal,H,VS2,EX,EX,GIA,19910
200,0.9,Good,H,SI1,VG,G,GIA,3485
201,1,Very Good,G,SI1,VG,VG,GIA,4991
202,2.01,Very Good,E,VS2,EX,VG,GIA,26484
203,0.75,Very Good,E,VS2,VG,EX,GIA,3817
204,1.13,Very Good,G,VVS1,EX,EX,GIA,9357
205,1.05,Very Good,H,VS2,VG,EX,GIA,5236
206,0.85,Signature-Ideal,E,SI1,EX,EX,GIA,4363
207,1.04,Ideal,H,VVS2,EX,EX,GIA,6990
208,1.18,Ideal,I,SI1,VG,EX,GIA,5378
209,0.78,Ideal,D,SI1,VG,EX,GIA,3389
210,0.9,Very Good,H,VS1,EX,G,GIA,4685
211,1.05,Ideal,G,VS1,ID,ID,AGSL,7247
212,1.04,Very Good,D,SI1,VG,EX,GIA,6138
213,1.24,Good,G,VS2,EX,VG,GIA,8672
214,2.01,Good,E,VS2,VG,VG,GIA,29826
215,1,Very Good,E,VVS1,VG,G,GIA,9092
216,1.29,Ideal,H,VS1,ID,ID,AGSL,8887
217,0.75,Ideal,E,SI1,VG,EX,GIA,2985
218,1.51,Ideal,F,SI1,EX,EX,GIA,11950
219,1.02,Good,I,SI1,G,VG,GIA,4105
220,0.81,Ideal,E,SI1,ID,ID,AGSL,3342
221,0.78,Ideal,G,VS2,ID,ID,AGSL,3343
222,1.01,Very Good,D,SI1,VG,VG,GIA,5619
223,0.9,Very Good,F,SI1,VG,VG,GIA,4058
224,2.05,Ideal,G,VS1,EX,EX,GIA,28519
225,0.78,Ideal,D,VS2,VG,VG,GIA,3763
226,0.87,Very Good,F,VVS2,G,VG,GIA,4528
227,1.1,Ideal,G,VVS2,VG,VG,GIA,9070
228,1.07,Ideal,H,SI1,EX,VG,GIA,5281
229,2.07,Ideal,F,VVS2,VG,EX,GIA,36676
230,0.9,Very Good,F,SI1,VG,VG,GIA,4498
231,0.93,Ideal,H,VS1,EX,EX,GIA,5301
232,0.9,Very Good,D,SI1,VG,VG,GIA,4661
233,1.66,Ideal,H,VS1,EX,EX,GIA,13330
234,1.01,Good,D,SI1,VG,VG,GIA,5700
235,1.03,Very Good,F,SI1,VG,VG,GIA,5266
236,1.01,Very Good,G,VS1,VG,VG,GIA,6669
237,1,Very Good,H,SI1,EX,VG,GIA,5021
238,2.01,Ideal,F,SI1,EX,EX,GIA,22373
239,1.01,Ideal,F,VS1,EX,EX,GIA,8860
240,1.03,Ideal,E,SI1,VG,VG,GIA,5476
241,0.85,Ideal,I,VS1,EX,EX,GIA,3548
242,1.09,Ideal,G,VVS1,ID,ID,AGSL,8778
243,0.91,Fair,E,SI1,VG,VG,GIA,4074
244,1.59,Ideal,H,VVS2,ID,ID,AGSL,12971
245,1.04,Very Good,H,SI1,VG,G,GIA,4791
246,0.9,Very Good,I,VS2,G,G,GIA,3709
247,1.22,Very Good,G,IF,G,G,GIA,10441
248,1.01,Good,F,SI1,G,VG,GIA,5008
249,1,Very Good,F,SI1,VG,VG,GIA,4961
250,2.02,Very Good,H,SI1,EX,EX,GIA,18662
251,1.67,Ideal,D,SI1,G,VG,GIA,14154
252,0.9,Ideal,G,VVS1,EX,VG,GIA,6237
253,1.23,Very Good,G,VVS2,EX,EX,GIA,10004
254,1.01,Very Good,E,VS2,VG,G,GIA,6480
255,1.33,Ideal,E,VVS1,EX,VG,GIA,16733
256,2,Very Good,I,VS1,VG,G,GIA,17144
257,0.9,Fair,H,VVS2,VG,G,GIA,4447
258,1.21,Signature-Ideal,I,SI1,ID,ID,AGSL,6688
259,1.01,Very Good,H,SI1,EX,EX,AGSL,4727
260,1.63,Very Good,G,VS2,EX,VG,GIA,14061
261,1,Very Good,D,SI1,EX,VG,GIA,6040
262,0.91,Very Good,G,VS1,VG,G,GIA,4381
263,2.03,Ideal,H,VS1,VG,VG,GIA,19287
264,0.76,Signature-Ideal,I,VS2,EX,EX,GIA,3075
265,2.06,Ideal,G,VS2,VG,VG,GIA,23951
266,0.85,Ideal,H,VS2,EX,EX,GIA,3434
267,1.06,Very Good,G,VS2,G,VG,GIA,6453
268,1.32,Good,I,VS1,EX,EX,GIA,7143
269,2.65,Very Good,E,SI1,VG,EX,GIA,33928
270,2.03,Ideal,G,VS1,VG,EX,GIA,27632
271,1.56,Ideal,I,SI1,ID,ID,AGSL,9788
272,0.82,Very Good,I,VVS1,VG,EX,GIA,3443
273,1.26,Very Good,F,VS2,EX,VG,GIA,9410
274,1.01,Very Good,F,SI1,G,VG,GIA,5107
275,0.94,Ideal,F,VS2,EX,EX,GIA,7120
276,2.2,Ideal,G,VS2,EX,VG,GIA,26538
277,2.07,Ideal,G,VS2,EX,EX,GIA,27783
278,1,Very Good,I,VS1,EX,EX,GIA,5557
279,1.05,Ideal,H,SI1,EX,VG,GIA,4975
280,0.9,Ideal,F,SI1,EX,VG,GIA,3995
281,1.66,Ideal,I,VS2,EX,EX,GIA,10795
282,0.76,Very Good,G,SI1,G,VG,GIA,2652
283,1.57,Very Good,H,VVS2,VG,EX,GIA,13516
284,2.15,Signature-Ideal,D,IF,ID,ID,AGSL,70683
285,0.79,Ideal,I,VS2,VG,EX,GIA,2712
286,1.61,Signature-Ideal,H,VS2,ID,ID,AGSL,13873
287,1.05,Ideal,G,VS1,EX,EX,GIA,7572
288,1.08,Ideal,G,VS2,EX,EX,GIA,7187
289,0.9,Very Good,G,IF,G,VG,GIA,6143
290,1.01,Ideal,G,VVS2,VG,VG,GIA,7398
291,0.9,Good,E,VS2,EX,EX,GIA,4377
292,1.52,Ideal,G,VS2,VG,VG,GIA,13153
293,1.08,Very Good,H,VS2,EX,VG,GIA,5515
294,1,Very Good,F,IF,VG,EX,GIA,9248
295,1.2,Very Good,E,SI1,EX,VG,GIA,7310
296,2.13,Very Good,G,VS2,VG,G,GIA,25921
297,0.9,Very Good,G,VS2,EX,EX,GIA,4504
298,1.17,Very Good,F,VS2,VG,VG,GIA,8144
299,1.23,Ideal,I,SI1,ID,ID,AGSL,5840
300,1.13,Very Good,F,SI1,EX,EX,GIA,5017
301,1.39,Ideal,D,SI1,ID,ID,AGSL,9519
302,0.75,Ideal,E,VS2,EX,EX,GIA,3844
303,1.23,Very Good,I,VS1,G,G,AGSL,6564
304,0.87,Ideal,E,SI1,EX,EX,GIA,5112
305,1.52,Ideal,F,SI1,ID,ID,AGSL,11971
306,1.23,Ideal,G,VS1,EX,EX,GIA,9863
307,1.8,Ideal,G,VS2,EX,EX,GIA,20343
308,1.3,Ideal,H,VS2,EX,EX,GIA,8196
309,1.01,Very Good,D,SI1,EX,VG,GIA,5731
310,2.07,Ideal,H,VS2,VG,EX,GIA,20427
311,1,Fair,E,VS2,G,G,GIA,6285
312,2.04,Very Good,I,SI1,VG,G,GIA,15412
313,1.01,Good,G,VS2,VG,VG,GIA,5497
314,1.61,Ideal,F,SI1,EX,EX,GIA,12085
315,2.01,Very Good,F,VS2,G,G,GIA,25784
316,2.08,Ideal,G,VS1,EX,EX,GIA,28990
317,1.01,Very Good,F,VVS1,EX,EX,GIA,9908
318,0.81,Signature-Ideal,I,VS2,EX,EX,GIA,3355
319,1.06,Very Good,I,VS1,G,G,AGSL,5293
320,2.05,Very Good,I,VS2,VG,VG,GIA,16576
321,0.9,Ideal,D,SI1,EX,EX,GIA,5081
322,1.08,Good,F,SI1,EX,EX,AGSL,5764
323,1.04,Ideal,G,VS1,EX,EX,GIA,7655
324,1.52,Ideal,H,SI1,EX,VG,GIA,10239
325,0.9,Very Good,D,SI1,G,G,GIA,4105
326,2.08,Ideal,E,VS2,EX,EX,GIA,32149
327,1.3,Very Good,G,VS1,EX,EX,GIA,10654
328,2.02,Ideal,G,VS2,EX,EX,GIA,25798
329,2.23,Very Good,F,SI1,VG,VG,GIA,23837
330,0.8,Very Good,E,VS2,VG,VG,GIA,3617
331,1.53,Ideal,I,SI1,VG,VG,GIA,8971
332,0.82,Ideal,E,SI1,VG,VG,GIA,3588
333,0.91,Ideal,H,VS2,EX,VG,GIA,4470
334,1,Fair,E,VS1,VG,VG,GIA,6918
335,1.14,Ideal,H,SI1,VG,VG,GIA,5382
336,1,Ideal,G,VVS1,EX,EX,GIA,8747
337,1.68,Ideal,H,VS1,VG,EX,GIA,13082
338,1.11,Ideal,F,VS2,EX,EX,GIA,8233
339,1.5,Very Good,F,VVS1,VG,G,GIA,17279
340,1.22,Very Good,E,VS2,VG,VG,GIA,9495
341,1.37,Ideal,I,VS2,ID,ID,AGSL,7966
342,1.02,Very Good,H,SI1,EX,VG,GIA,4444
343,2.15,Very Good,F,SI1,G,VG,GIA,22570
344,0.9,Good,H,VS1,VG,VG,GIA,4409
345,1.51,Very Good,H,SI1,VG,G,GIA,9694
346,1,Fair,E,VS2,VG,G,GIA,6268
347,2.51,Very Good,G,VVS1,VG,VG,GIA,44441
348,1.01,Very Good,G,VS2,VG,VG,GIA,5777
349,0.82,Ideal,G,SI1,EX,VG,GIA,2956
350,0.9,Very Good,G,VS2,G,G,GIA,4311
351,2.01,Ideal,F,VS2,VG,VG,GIA,27241
352,1,Good,G,VVS2,G,G,GIA,6748
353,1.01,Good,E,SI1,EX,VG,GIA,4788
354,1.51,Ideal,I,SI1,VG,VG,GIA,8752
355,0.86,Ideal,I,VVS2,ID,ID,AGSL,3544
356,1.04,Very Good,H,VVS2,VG,G,GIA,6364
357,1.14,Very Good,H,VS2,EX,EX,GIA,6386
358,1.21,Ideal,F,VS1,EX,VG,GIA,8629
359,1.2,Ideal,G,VS2,ID,ID,AGSL,8771
360,0.79,Very Good,I,VVS2,EX,G,GIA,2589
361,1.02,Ideal,E,SI1,ID,ID,AGSL,5840
362,1.58,Very Good,H,VS1,EX,VG,GIA,12483
363,0.9,Very Good,G,VS2,VG,VG,GIA,4484
364,0.81,Very Good,G,SI1,VG,VG,AGSL,2806
365,0.95,Signature-Ideal,G,VS1,ID,ID,AGSL,6216
366,1.7,Ideal,H,VS1,EX,EX,GIA,16240
367,0.77,Ideal,D,VS1,EX,EX,GIA,4407
368,2.01,Ideal,H,VS1,EX,EX,GIA,21966
369,1.21,Very Good,G,VVS2,EX,VG,GIA,10355
370,1.22,Ideal,F,VS2,VG,EX,GIA,9568
371,1.51,Ideal,H,VS1,VG,VG,GIA,11856
372,1.03,Ideal,H,SI1,VG,G,GIA,4800
373,2.07,Ideal,F,SI1,EX,EX,GIA,20594
374,1.02,Very Good,G,VVS1,VG,EX,GIA,8387
375,1.21,Ideal,F,VVS1,VG,VG,GIA,12230
376,2.05,Ideal,G,SI1,EX,EX,GIA,20668
377,1.37,Signature-Ideal,D,VS1,ID,ID,AGSL,15821
378,1.06,Good,D,VS2,VG,G,GIA,6893
379,2.52,Very Good,H,SI1,EX,EX,GIA,25779
380,2.07,Very Good,F,VS2,VG,VG,GIA,26619
381,1.05,Ideal,H,VS2,VG,VG,GIA,6224
382,1,Good,G,VVS2,EX,EX,GIA,7279
383,1.7,Very Good,E,SI1,VG,VG,GIA,14232
384,1.01,Very Good,I,SI1,VG,VG,GIA,4189
385,1.02,Very Good,D,SI1,EX,G,GIA,5291
386,1.24,Ideal,I,SI1,EX,EX,GIA,6381
387,1.01,Very Good,G,VVS2,G,G,GIA,7226
388,2.23,Ideal,H,VVS1,EX,EX,GIA,28811
389,0.96,Good,G,SI1,VG,VG,GIA,4234
390,1.22,Ideal,H,VS2,EX,EX,GIA,7623
391,2.03,Very Good,G,VS1,VG,VG,GIA,26920
392,1.11,Ideal,F,VS2,EX,EX,GIA,7740
393,2.05,Ideal,F,SI1,ID,ID,AGSL,22626
394,1.5,Very Good,H,VS1,EX,VG,GIA,12723
395,1.01,Very Good,E,SI1,VG,VG,GIA,5229
396,2.16,Very Good,I,VS1,EX,EX,AGSL,19642
397,0.79,Ideal,I,VS1,EX,EX,GIA,2888
398,1.09,Ideal,D,SI1,ID,ID,AGSL,6532
399,1,Ideal,G,VVS2,EX,EX,GIA,8151
400,2.01,Very Good,G,VS2,G,VG,GIA,26075
401,0.9,Good,F,SI1,VG,G,GIA,3896
402,1.05,Ideal,G,VVS2,VG,VG,GIA,8492
403,1.56,Very Good,I,VS1,VG,G,GIA,10275
404,1.66,Very Good,E,SI1,EX,EX,GIA,12818
405,2.01,Ideal,G,SI1,VG,VG,GIA,18566
406,1.1,Ideal,E,VVS1,EX,VG,GIA,10906
407,1.19,Ideal,F,VVS2,VG,EX,GIA,10436
408,1.11,Ideal,G,VVS2,EX,EX,GIA,9507
409,1.35,Very Good,F,VVS2,EX,VG,GIA,13053
410,1.5,Very Good,E,VS1,EX,VG,GIA,15957
411,1,Very Good,F,SI1,EX,VG,GIA,4820
412,1.08,Ideal,F,SI1,VG,VG,GIA,5534
413,0.76,Ideal,E,VS1,EX,VG,GIA,3658
414,1.13,Ideal,D,VVS2,ID,ID,AGSL,12788
415,1.51,Very Good,G,VS2,EX,VG,GIA,11041
416,0.82,Ideal,F,SI1,EX,EX,GIA,3596
417,0.91,Fair,F,SI1,EX,EX,GIA,4036
418,1.51,Good,F,VS2,G,G,GIA,13010
419,0.9,Ideal,H,VS2,VG,EX,GIA,4584
420,2.01,Very Good,D,SI1,VG,VG,GIA,21440
421,2.22,Ideal,D,VS1,EX,EX,GIA,41861
422,1.31,Very Good,H,VS2,G,VG,GIA,8261
423,2.01,Good,E,VS2,VG,VG,GIA,25793
424,1.5,Very Good,D,IF,VG,G,GIA,27460
425,1.06,Very Good,H,VS2,VG,VG,GIA,5415
426,1.21,Ideal,G,VVS2,EX,EX,GIA,10378
427,1.54,Ideal,I,VS2,VG,EX,GIA,9600
428,0.9,Very Good,D,VVS2,VG,EX,GIA,6924
429,2.17,Ideal,I,SI1,EX,EX,GIA,17747
430,2.17,Ideal,F,SI1,VG,EX,GIA,22930
431,0.9,Very Good,G,VS1,EX,VG,GIA,4872
432,1,Very Good,F,VVS2,VG,EX,GIA,8216
433,1.01,Ideal,D,SI1,EX,EX,GIA,5702
434,2.49,Very Good,G,VS1,VG,VG,GIA,36028
435,1.72,Very Good,F,VS2,VG,G,GIA,17578
436,1.01,Very Good,F,SI1,VG,VG,GIA,5107
437,1.09,Very Good,G,SI1,G,G,GIA,5364
438,1.75,Ideal,G,VS1,VG,VG,GIA,18851
439,1.22,Ideal,E,VS1,EX,G,GIA,10622
440,1.03,Ideal,D,VS1,EX,EX,GIA,8742
441,1.28,Ideal,G,SI1,VG,VG,GIA,7660
442,1.5,Very Good,H,SI1,VG,VG,GIA,8600
443,2,Good,H,VS2,VG,G,GIA,20688
444,0.75,Very Good,E,SI1,EX,G,GIA,3005
445,1.23,Ideal,I,VS1,VG,VG,GIA,6435
446,1.01,Fair,H,VS1,EX,EX,GIA,5015
447,2.59,Very Good,E,SI1,EX,EX,GIA,25158
448,0.77,Ideal,H,VS1,EX,EX,GIA,3468
449,2.42,Ideal,H,VS2,ID,ID,AGSL,27433
450,2.06,Very Good,E,VS2,EX,EX,GIA,29297
451,1.04,Very Good,D,SI1,EX,VG,GIA,5557
452,1.01,Good,D,IF,G,G,GIA,14361
453,1.04,Signature-Ideal,G,VVS2,ID,ID,AGSL,9627
454,1.51,Ideal,I,VVS1,EX,EX,GIA,12788
455,0.79,Signature-Ideal,H,SI1,ID,ID,AGSL,3167
456,0.9,Good,D,VS2,VG,G,GIA,4508
457,1.2,Ideal,I,VS1,EX,EX,GIA,6380
458,0.83,Ideal,D,SI1,EX,EX,GIA,3990
459,2,Ideal,G,VS2,VG,EX,GIA,23503
460,0.92,Ideal,H,SI1,EX,EX,GIA,4325
461,1.04,Very Good,D,VS2,ID,EX,AGSL,7653
462,1,Very Good,E,VVS1,VG,G,GIA,9092
463,0.84,Very Good,D,VS1,VG,VG,GIA,4869
464,2,Ideal,D,VS1,VG,VG,GIA,34689
465,1.31,Signature-Ideal,G,VVS2,EX,EX,GIA,13057
